 id_categoria |   nombre   | cantidad_productos_activos | valor_lista_total 
--------------+------------+----------------------------+-------------------
            1 | Almacen    |                      10000 |       27512026.00
            2 | Bebidas    |                      10000 |       27494940.00
            3 | Limpieza   |                      10000 |       27495858.00
            4 | Perfumeria |                      10000 |       27505778.00
            5 | Congelados |                       7500 |       20611422.00
(5 rows)

 id_categoria |   nombre   | cantidad_productos_activos | valor_lista_total 
--------------+------------+----------------------------+-------------------
            1 | Almacen    |                      10000 |       27512026.00
            2 | Bebidas    |                      10000 |       27494940.00
            3 | Limpieza   |                      10000 |       27495858.00
            4 | Perfumeria |                      10000 |       27505778.00
            5 | Congelados |                       7500 |       20611422.00
(5 rows)

        control         | filas_distintas 
------------------------+-----------------
 spec_1_ia_menos_propia |               0
 spec_1_propia_menos_ia |               0
(2 rows)

 id_producto |           producto            | categoria  | precio_lista 
-------------+-------------------------------+------------+--------------
      100026 | TP3_SB2026TP3_PRODUCTO_000026 | Almacen    |      1462.00
      100053 | TP3_SB2026TP3_PRODUCTO_000053 | Limpieza   |      2461.00
      100055 | TP3_SB2026TP3_PRODUCTO_000055 | Congelados |      2535.00
      100082 | TP3_SB2026TP3_PRODUCTO_000082 | Bebidas    |      3534.00
      100111 | TP3_SB2026TP3_PRODUCTO_000111 | Almacen    |      4607.00
      100135 | TP3_SB2026TP3_PRODUCTO_000135 | Congelados |       994.00
      100137 | TP3_SB2026TP3_PRODUCTO_000137 | Bebidas    |      1068.00
      100164 | TP3_SB2026TP3_PRODUCTO_000164 | Perfumeria |      2067.00
      100193 | TP3_SB2026TP3_PRODUCTO_000193 | Limpieza   |      3140.00
      100222 | TP3_SB2026TP3_PRODUCTO_000222 | Bebidas    |      4213.00
      100251 | TP3_SB2026TP3_PRODUCTO_000251 | Almacen    |       785.00
      100275 | TP3_SB2026TP3_PRODUCTO_000275 | Congelados |      1673.00
      100304 | TP3_SB2026TP3_PRODUCTO_000304 | Perfumeria |      2746.00
      100331 | TP3_SB2026TP3_PRODUCTO_000331 | Almacen    |      3745.00
      100362 | TP3_SB2026TP3_PRODUCTO_000362 | Bebidas    |      4892.00
      100391 | TP3_SB2026TP3_PRODUCTO_000391 | Almacen    |      1464.00
      100415 | TP3_SB2026TP3_PRODUCTO_000415 | Congelados |      2352.00
      100418 | TP3_SB2026TP3_PRODUCTO_000418 | Limpieza   |      2463.00
      100447 | TP3_SB2026TP3_PRODUCTO_000447 | Bebidas    |      3536.00
      100449 | TP3_SB2026TP3_PRODUCTO_000449 | Perfumeria |      3610.00
      100502 | TP3_SB2026TP3_PRODUCTO_000502 | Bebidas    |      1070.00
      100529 | TP3_SB2026TP3_PRODUCTO_000529 | Perfumeria |      2069.00
      100531 | TP3_SB2026TP3_PRODUCTO_000531 | Almacen    |      2143.00
      100558 | TP3_SB2026TP3_PRODUCTO_000558 | Limpieza   |      3142.00
      100587 | TP3_SB2026TP3_PRODUCTO_000587 | Bebidas    |      4215.00
      100645 | TP3_SB2026TP3_PRODUCTO_000645 | Congelados |      1860.00
      100669 | TP3_SB2026TP3_PRODUCTO_000669 | Perfumeria |      2748.00
      100698 | TP3_SB2026TP3_PRODUCTO_000698 | Limpieza   |      3821.00
      100727 | TP3_SB2026TP3_PRODUCTO_000727 | Bebidas    |      4894.00
      100756 | TP3_SB2026TP3_PRODUCTO_000756 | Almacen    |      1466.00
      100785 | TP3_SB2026TP3_PRODUCTO_000785 | Congelados |      2539.00
      100814 | TP3_SB2026TP3_PRODUCTO_000814 | Perfumeria |      3612.00
      100838 | TP3_SB2026TP3_PRODUCTO_000838 | Limpieza   |      4500.00
      100867 | TP3_SB2026TP3_PRODUCTO_000867 | Bebidas    |      1072.00
      100894 | TP3_SB2026TP3_PRODUCTO_000894 | Perfumeria |      2071.00
      100896 | TP3_SB2026TP3_PRODUCTO_000896 | Almacen    |      2145.00
      100923 | TP3_SB2026TP3_PRODUCTO_000923 | Limpieza   |      3144.00
      100925 | TP3_SB2026TP3_PRODUCTO_000925 | Congelados |      3218.00
      100954 | TP3_SB2026TP3_PRODUCTO_000954 | Perfumeria |      4291.00
      100978 | TP3_SB2026TP3_PRODUCTO_000978 | Limpieza   |       678.00
      101005 | TP3_SB2026TP3_PRODUCTO_001005 | Congelados |      1677.00
      101007 | TP3_SB2026TP3_PRODUCTO_001007 | Bebidas    |      1751.00
      101034 | TP3_SB2026TP3_PRODUCTO_001034 | Perfumeria |      2750.00
      101063 | TP3_SB2026TP3_PRODUCTO_001063 | Limpieza   |      3823.00
      101094 | TP3_SB2026TP3_PRODUCTO_001094 | Perfumeria |      4970.00
      101121 | TP3_SB2026TP3_PRODUCTO_001121 | Almacen    |      1468.00
      101123 | TP3_SB2026TP3_PRODUCTO_001123 | Limpieza   |      1542.00
      101145 | TP3_SB2026TP3_PRODUCTO_001145 | Congelados |      2356.00
      101150 | TP3_SB2026TP3_PRODUCTO_001150 | Congelados |      2541.00
      101174 | TP3_SB2026TP3_PRODUCTO_001174 | Perfumeria |      3429.00
      101179 | TP3_SB2026TP3_PRODUCTO_001179 | Perfumeria |      3614.00
      101203 | TP3_SB2026TP3_PRODUCTO_001203 | Limpieza   |      4502.00
      101232 | TP3_SB2026TP3_PRODUCTO_001232 | Bebidas    |      1074.00
      101261 | TP3_SB2026TP3_PRODUCTO_001261 | Almacen    |      2147.00
      101288 | TP3_SB2026TP3_PRODUCTO_001288 | Limpieza   |      3146.00
      101290 | TP3_SB2026TP3_PRODUCTO_001290 | Congelados |      3220.00
      101314 | TP3_SB2026TP3_PRODUCTO_001314 | Perfumeria |      4108.00
      101319 | TP3_SB2026TP3_PRODUCTO_001319 | Perfumeria |      4293.00
      101343 | TP3_SB2026TP3_PRODUCTO_001343 | Limpieza   |       680.00
      101370 | TP3_SB2026TP3_PRODUCTO_001370 | Congelados |      1679.00
      101372 | TP3_SB2026TP3_PRODUCTO_001372 | Bebidas    |      1753.00
      101399 | TP3_SB2026TP3_PRODUCTO_001399 | Perfumeria |      2752.00
      101401 | TP3_SB2026TP3_PRODUCTO_001401 | Almacen    |      2826.00
      101430 | TP3_SB2026TP3_PRODUCTO_001430 | Congelados |      3899.00
      101454 | TP3_SB2026TP3_PRODUCTO_001454 | Perfumeria |      4787.00
      101459 | TP3_SB2026TP3_PRODUCTO_001459 | Perfumeria |      4972.00
      101483 | TP3_SB2026TP3_PRODUCTO_001483 | Limpieza   |      1359.00
      101488 | TP3_SB2026TP3_PRODUCTO_001488 | Limpieza   |      1544.00
      101510 | TP3_SB2026TP3_PRODUCTO_001510 | Congelados |      2358.00
      101515 | TP3_SB2026TP3_PRODUCTO_001515 | Congelados |      2543.00
      101539 | TP3_SB2026TP3_PRODUCTO_001539 | Perfumeria |      3431.00
      101570 | TP3_SB2026TP3_PRODUCTO_001570 | Congelados |      4578.00
      101597 | TP3_SB2026TP3_PRODUCTO_001597 | Bebidas    |      1076.00
      101599 | TP3_SB2026TP3_PRODUCTO_001599 | Perfumeria |      1150.00
      101626 | TP3_SB2026TP3_PRODUCTO_001626 | Almacen    |      2149.00
      101655 | TP3_SB2026TP3_PRODUCTO_001655 | Congelados |      3222.00
      101679 | TP3_SB2026TP3_PRODUCTO_001679 | Perfumeria |      4110.00
      101708 | TP3_SB2026TP3_PRODUCTO_001708 | Limpieza   |       682.00
      101737 | TP3_SB2026TP3_PRODUCTO_001737 | Bebidas    |      1755.00
      101764 | TP3_SB2026TP3_PRODUCTO_001764 | Perfumeria |      2754.00
      101766 | TP3_SB2026TP3_PRODUCTO_001766 | Almacen    |      2828.00
      101795 | TP3_SB2026TP3_PRODUCTO_001795 | Congelados |      3901.00
      101819 | TP3_SB2026TP3_PRODUCTO_001819 | Perfumeria |      4789.00
      101824 | TP3_SB2026TP3_PRODUCTO_001824 | Perfumeria |      4974.00
      101848 | TP3_SB2026TP3_PRODUCTO_001848 | Limpieza   |      1361.00
      101853 | TP3_SB2026TP3_PRODUCTO_001853 | Limpieza   |      1546.00
      101875 | TP3_SB2026TP3_PRODUCTO_001875 | Congelados |      2360.00
      101877 | TP3_SB2026TP3_PRODUCTO_001877 | Bebidas    |      2434.00
      101906 | TP3_SB2026TP3_PRODUCTO_001906 | Almacen    |      3507.00
      101935 | TP3_SB2026TP3_PRODUCTO_001935 | Congelados |      4580.00
      101964 | TP3_SB2026TP3_PRODUCTO_001964 | Perfumeria |      1152.00
      101991 | TP3_SB2026TP3_PRODUCTO_001991 | Almacen    |      2151.00
      101993 | TP3_SB2026TP3_PRODUCTO_001993 | Limpieza   |      2225.00
      102046 | TP3_SB2026TP3_PRODUCTO_002046 | Almacen    |      4186.00
      102073 | TP3_SB2026TP3_PRODUCTO_002073 | Limpieza   |       684.00
      102075 | TP3_SB2026TP3_PRODUCTO_002075 | Congelados |       758.00
      102102 | TP3_SB2026TP3_PRODUCTO_002102 | Bebidas    |      1757.00
      102131 | TP3_SB2026TP3_PRODUCTO_002131 | Almacen    |      2830.00
      102184 | TP3_SB2026TP3_PRODUCTO_002184 | Perfumeria |      4791.00
      102189 | TP3_SB2026TP3_PRODUCTO_002189 | Perfumeria |      4976.00
      102213 | TP3_SB2026TP3_PRODUCTO_002213 | Limpieza   |      1363.00
      102218 | TP3_SB2026TP3_PRODUCTO_002218 | Limpieza   |      1548.00
      102242 | TP3_SB2026TP3_PRODUCTO_002242 | Bebidas    |      2436.00
