 id_cliente |    nombre    | apellido | total_gastado | puesto 
------------+--------------+----------+---------------+--------
      54153 | Cliente14153 | TP314153 |     123797.00 |      1
      53058 | Cliente13058 | TP313058 |     122551.00 |      2
      52693 | Cliente12693 | TP312693 |     121839.00 |      3
      52328 | Cliente12328 | TP312328 |     121572.00 |      4
      51963 | Cliente11963 | TP311963 |     120860.00 |      5
      51598 | Cliente11598 | TP311598 |     120593.00 |      6
      51233 | Cliente11233 | TP311233 |     119881.00 |      7
      50868 | Cliente10868 | TP310868 |     119614.00 |      8
      50503 | Cliente10503 | TP310503 |     119347.00 |      9
      50138 | Cliente10138 | TP310138 |     118635.00 |     10
      49773 | Cliente09773 | TP309773 |     117923.00 |     11
      49408 | Cliente09408 | TP309408 |     117656.00 |     12
      49043 | Cliente09043 | TP309043 |     116944.00 |     13
      48678 | Cliente08678 | TP308678 |     116677.00 |     14
      48313 | Cliente08313 | TP308313 |     115965.00 |     15
      47948 | Cliente07948 | TP307948 |     115698.00 |     16
      47583 | Cliente07583 | TP307583 |     115431.00 |     17
      47218 | Cliente07218 | TP307218 |     114719.00 |     18
      46853 | Cliente06853 | TP306853 |     114007.00 |     19
      46488 | Cliente06488 | TP306488 |     113295.00 |     20
      46123 | Cliente06123 | TP306123 |     113028.00 |     21
      45758 | Cliente05758 | TP305758 |     112761.00 |     22
      45393 | Cliente05393 | TP305393 |     112049.00 |     23
      45028 | Cliente05028 | TP305028 |     111782.00 |     24
      44663 | Cliente04663 | TP304663 |     111515.00 |     25
      44298 | Cliente04298 | TP304298 |     110803.00 |     26
      43933 | Cliente03933 | TP303933 |     110091.00 |     27
      59993 | Cliente19993 | TP319993 |     109569.00 |     28
      43568 | Cliente03568 | TP303568 |     109379.00 |     29
      43203 | Cliente03203 | TP303203 |     109112.00 |     30
      59628 | Cliente19628 | TP319628 |     108857.00 |     31
      42838 | Cliente02838 | TP302838 |     108845.00 |     32
      45308 | Cliente05308 | TP305308 |     108677.00 |     33
      59263 | Cliente19263 | TP319263 |     108590.00 |     34
      42473 | Cliente02473 | TP302473 |     108133.00 |     35
      58898 | Cliente18898 | TP318898 |     107878.00 |     36
      42108 | Cliente02108 | TP302108 |     107866.00 |     37
      41743 | Cliente01743 | TP301743 |     107599.00 |     38
      59768 | Cliente19768 | TP319768 |     107527.00 |     39
      44213 | Cliente04213 | TP304213 |     107431.00 |     40
      59403 | Cliente19403 | TP319403 |     107260.00 |     41
      58533 | Cliente18533 | TP318533 |     107166.00 |     42
      58168 | Cliente18168 | TP318168 |     106899.00 |     43
      41378 | Cliente01378 | TP301378 |     106887.00 |     44
      43848 | Cliente03848 | TP303848 |     106719.00 |     45
      59038 | Cliente19038 | TP319038 |     106548.00 |     46
      43483 | Cliente03483 | TP303483 |     106452.00 |     47
      57803 | Cliente17803 | TP317803 |     106187.00 |     48
      41013 | Cliente01013 | TP301013 |     106175.00 |     49
      57438 | Cliente17438 | TP317438 |     105920.00 |     50
      58673 | Cliente18673 | TP318673 |     105836.00 |     51
      41883 | Cliente01883 | TP301883 |     105824.00 |     52
      43118 | Cliente03118 | TP303118 |     105740.00 |     53
      41518 | Cliente01518 | TP301518 |     105557.00 |     54
      42753 | Cliente02753 | TP302753 |     105473.00 |     55
      40648 | Cliente00648 | TP300648 |     105463.00 |     56
